Gregory Hall,Gregory Hall
Henry Administration Bldg,Henry Administration Bldg
Davenport Hall,Davenport Hall
David Kinley Hall,David Kinley Hall
National Soybean Res Ctr,National Soybean Res Ctr
Bevier Hall,Bevier Hall
Lincoln Hall,Lincoln Hall
Foreign Languages Building,Foreign Languages Building
Armory,Armory
Education Building,Education Building
Animal Sciences Laboratory,Animal Sciences Laboratory
Agricultural Engr Sciences Bld,Agricultural Engr Sciences Bld
Materials Science & Eng Bld,Materials Science & Eng Bld
Turner Hall,Turner Hall
Huff Hall,Huff Hall
Business Instructional Fac,Business Instructional Fac
Library,Library
Wohlers Hall,Wohlers Hall
Architecture Building,Architecture Building
Mumford Hall,Mumford Hall
"ACES Lib, Info & Alum Ctr","ACES Lib, Info & Alum Ctr"
Temple Hoyne Buell Hall,Temple Hoyne Buell Hall
Psychology Building,Psychology Building
Christopher Hall,Christopher Hall
Everitt Laboratory,Everitt Laboratory
Weston Hall,Weston Hall
Burrill Hall,Burrill Hall
Chemistry Annex,Chemistry Annex
Krannert Art Museum,Krannert Art Museum
Digital Computer Laboratory,Digital Computer Laboratory
Engineering Hall,Engineering Hall
Loomis Laboratory,Loomis Laboratory
Talbot Laboratory,Talbot Laboratory
Ceramics Building,Ceramics Building
Transportation Building,Transportation Building
Electrical & Computer Eng Bldg,Electrical & Computer Eng Bldg
Newmark Civil Engineering Bldg,Newmark Civil Engineering Bldg
English Building,English Building
Music Building,Music Building
Ctr Wounded Veterans Higher Ed,Ctr Wounded Veterans Higher Ed
1010 W Nevada,1010 W Nevada
Stock Pavilion,Stock Pavilion
Meat Science Laboratory,Meat Science Laboratory
Noyes Laboratory,Noyes Laboratory
Vet Med Basic Sciences Bldg,Vet Med Basic Sciences Bldg
Foellinger Auditorium,Foellinger Auditorium
Natural History Building,Natural History Building
Architecture Annex,Architecture Annex
Art and Design Building,Art and Design Building
Flagg Hall,Flagg Hall
Allen Residence Hall,Allen Residence Hall
Japan House,Japan House
Noble Hall,Noble Hall
"2110 S. Griffith Dr., Bldg 4","2110 S. Griffith Dr., Bldg 4"
Altgeld Hall,Altgeld Hall
Astronomy Building,Astronomy Building
Observatory,Observatory
Danville IL,Danville IL
Inst Labor &  Industrial Rel,Inst Labor &  Industrial Rel
Roger Adams Laboratory,Roger Adams Laboratory
Chemical and Life Sci Lab,Chemical and Life Sci Lab
Siebel Center for Comp Sci,Siebel Center for Comp Sci
Mechanical Engineering Bldg,Mechanical Engineering Bldg
Activities & Recreation Center,Activities & Recreation Center
1203 1/2 W Nevada,1203 1/2 W Nevada
FAR - Food Service Building,FAR - Food Service Building
1207 W Oregon,1207 W Oregon
Freer Hall,Freer Hall
Student Dining & Res Program,Student Dining & Res Program
1205 W Oregon,1205 W Oregon
505 E Green,505 E Green
Wassaja Hall,Wassaja Hall
Plant Sciences Laboratory,Plant Sciences Laboratory
901 W Oregon,901 W Oregon
Coordinated Science Lab,Coordinated Science Lab
Grad Sch of Lib & Info Science,Grad Sch of Lib & Info Science
Krannert Center for Perf Arts,Krannert Center for Perf Arts
907 1/2 W Nevada,907 1/2 W Nevada
905 W Nevada,905 W Nevada
Micro & Nanotechnology Lab,Micro & Nanotechnology Lab
Beckman Institute,Beckman Institute
Illini Hall,Illini Hall
Oakton Com Coll Des Plaines IL,Oakton Com Coll Des Plaines IL
Illini Center,Illini Center
International Studies Building,International Studies Building
Inst Gov & Public Affairs Bldg,Inst Gov & Public Affairs Bldg
Lincoln Avenue Residence Hall,Lincoln Avenue Residence Hall
Pennsylvania Lounge Bld - PAR,Pennsylvania Lounge Bld - PAR
1205 W Nevada,1205 W Nevada
Child Development Laboratory,Child Development Laboratory
"Art-East Annex, Studio 2","Art-East Annex, Studio 2"
Richmond Studio,Richmond Studio
Campus Recreation Center East,Campus Recreation Center East
Illini Union,Illini Union
Ice Arena,Ice Arena
Speech & Hearing Science Bldg,Speech & Hearing Science Bldg
Mechanical Engineering Lab,Mechanical Engineering Lab
Optical Physics & Eng Lab,Optical Physics & Eng Lab
Engineering Sciences Building,Engineering Sciences Building
Ceramics Kiln House,Ceramics Kiln House
Smith Memorial Hall,Smith Memorial Hall
Harding Band Building,Harding Band Building
Nuclear Radiations Laboratory,Nuclear Radiations Laboratory
E R Madigan Laboratory,E R Madigan Laboratory
Institute for Genomic Biology,Institute for Genomic Biology
Illinois Street Residence Lng,Illinois Street Residence Lng
Veterinary Teaching Hospital,Veterinary Teaching Hospital
Grainger Engineering Library,Grainger Engineering Library
Discovery Partners Inst. CHI,Discovery Partners Inst. CHI
Bousfield Hall,Bousfield Hall
Agricultural Bioprocess Lab,Agricultural Bioprocess Lab
Zhejiang University,Zhejiang University
