RoomID,Room,Building
GH-329,329,Gregory Hall
GH-313,313,Gregory Hall
GH-112,112,Gregory Hall
HAB-140,140,Henry Administration Bldg
DH-136,136,Davenport Hall
DKH-115,115,David Kinley Hall
DKH-307,307,David Kinley Hall
DKH-326,326,David Kinley Hall
DKH-325,325,David Kinley Hall
DKH-322,322,David Kinley Hall
NSRC-149,149,National Soybean Res Ctr
BH-166,166,Bevier Hall
DH-132,132,Davenport Hall
GH-331,331,Gregory Hall
LH-1000,1000,Lincoln Hall
GH-327,327,Gregory Hall
FLB-1038,1038,Foreign Languages Building
GH-315,315,Gregory Hall
HAB-156,156,Henry Administration Bldg
A-386,386,Armory
LH-1028,1028,Lincoln Hall
EB-22,22,Education Building
EB-242,242,Education Building
GH-217,217,Gregory Hall
EB-2,2,Education Building
ASL-131,131,Animal Sciences Laboratory
AESB-208,208,Agricultural Engr Sciences Bld
AESB-204,204,Agricultural Engr Sciences Bld
AESB-ARR,ARR,Agricultural Engr Sciences Bld
AESB-248,248,Agricultural Engr Sciences Bld
AESB-242,242,Agricultural Engr Sciences Bld
MS&EB-119,119,Materials Science & Eng Bld
BH-180,180,Bevier Hall
TH-M205,M205,Turner Hall
A-429,429,Armory
HH-209,209,Huff Hall
AESB-220,220,Agricultural Engr Sciences Bld
BIF-3003,3003,Business Instructional Fac
BIF-2011,2011,Business Instructional Fac
BIF-2001,2001,Business Instructional Fac
BIF-3057,3057,Business Instructional Fac
BIF-3063,3063,Business Instructional Fac
BIF-3009,3009,Business Instructional Fac
LH-THEAT,THEAT,Lincoln Hall
L-66,66,Library
BIF-1049,1049,Business Instructional Fac
BIF-ARR,ARR,Business Instructional Fac
BIF-2007,2007,Business Instructional Fac
BIF-1025,1025,Business Instructional Fac
BIF-1001,1001,Business Instructional Fac
BIF-2057,2057,Business Instructional Fac
BIF-2063,2063,Business Instructional Fac
BIF-3001,3001,Business Instructional Fac
BIF-2005,2005,Business Instructional Fac
WH-152,152,Wohlers Hall
AB-302,302,Architecture Building
WH-241,241,Wohlers Hall
BIF-3041,3041,Business Instructional Fac
BIF-3007,3007,Business Instructional Fac
BIF-2041,2041,Business Instructional Fac
TH-W115,W115,Turner Hall
MH-313,313,Mumford Hall
MH-320,320,Mumford Hall
ALI&AC-22,22,"ACES Lib, Info & Alum Ctr"
ALI&AC-30,30,"ACES Lib, Info & Alum Ctr"
ALI&AC-23,23,"ACES Lib, Info & Alum Ctr"
ALI&AC-29,29,"ACES Lib, Info & Alum Ctr"
LH-1092,1092,Lincoln Hall
MH-426,426,Mumford Hall
THBH-134,134,Temple Hoyne Buell Hall
MH-103,103,Mumford Hall
AB-120,120,Architecture Building
TH-W109,W109,Turner Hall
BH-132,132,Bevier Hall
DKH-119,119,David Kinley Hall
ALI&AC-ARR,ARR,"ACES Lib, Info & Alum Ctr"
PB-29,29,Psychology Building
MH-323,323,Mumford Hall
MH-ARR,ARR,Mumford Hall
MH-316N,316N,Mumford Hall
MH-422,422,Mumford Hall
MH-316S,316S,Mumford Hall
WH-170,170,Wohlers Hall
DH-312,312,Davenport Hall
BH-103,103,Bevier Hall
CH-3,3,Christopher Hall
ASL-292,292,Animal Sciences Laboratory
DH-336,336,Davenport Hall
EB-385,385,Education Building
BH-122,122,Bevier Hall
TH-W9,W9,Turner Hall
DKH-312,312,David Kinley Hall
DH-313,313,Davenport Hall
ASL-107,107,Animal Sciences Laboratory
ASL-150,150,Animal Sciences Laboratory
EL-1302,1302,Everitt Laboratory
GH-223,223,Gregory Hall
WH-7,7,Weston Hall
PB-32,32,Psychology Building
GH-31,31,Gregory Hall
WH-70B,70B,Wohlers Hall
BH-124,124,Burrill Hall
A-328,328,Armory
A-182,182,Armory
CA-1024,1024,Chemistry Annex
GH-213,213,Gregory Hall
A-331,331,Armory
GH-123,123,Gregory Hall
KAM-62,62,Krannert Art Museum
LH-1065,1065,Lincoln Hall
GH-311,311,Gregory Hall
LH-1020,1020,Lincoln Hall
A-330,330,Armory
A-432,432,Armory
A-370,370,Armory
GH-215,215,Gregory Hall
A-333,333,Armory
WH-243,243,Wohlers Hall
DCL-1310,1310,Digital Computer Laboratory
AB-301,301,Architecture Building
GH-207,207,Gregory Hall
GH-336,336,Gregory Hall
A-134,134,Armory
A-147,147,Armory
EL-2310,2310,Everitt Laboratory
DCL-2320,2320,Digital Computer Laboratory
EL-3217,3217,Everitt Laboratory
EL-2233,2233,Everitt Laboratory
EH-406B8,406B8,Engineering Hall
EL-3117,3117,Everitt Laboratory
LL-136,136,Loomis Laboratory
TL-103,103,Talbot Laboratory
CB-218,218,Ceramics Building
TB-112,112,Transportation Building
EL-1306,1306,Everitt Laboratory
TB-103,103,Transportation Building
EH-403B2,403B2,Engineering Hall
TB-114,114,Transportation Building
MS&EB-305,305,Materials Science & Eng Bld
EL-2101,2101,Everitt Laboratory
EH-410C1,410C1,Engineering Hall
TL-ARR,ARR,Talbot Laboratory
LL-151,151,Loomis Laboratory
E&CEB-3071,3071,Electrical & Computer Eng Bldg
E&CEB-1015,1015,Electrical & Computer Eng Bldg
NCEB-2310,2310,Newmark Civil Engineering Bldg
EH-410B1,410B1,Engineering Hall
A-101,101,Armory
A-325,325,Armory
WH-236,236,Wohlers Hall
DKH-215B,215B,David Kinley Hall
FLB-G30,G30,Foreign Languages Building
GH-113,113,Gregory Hall
EB-104,104,English Building
A-137,137,Armory
LH-1066,1066,Lincoln Hall
PB-23,23,Psychology Building
GH-219,219,Gregory Hall
BH-144,144,Bevier Hall
MB-324,324,Music Building
EB-323,323,Education Building
A-243,243,Armory
FLB-1112,1112,Foreign Languages Building
FLB-G27,G27,Foreign Languages Building
FLB-G32,G32,Foreign Languages Building
FLB-G13,G13,Foreign Languages Building
FLB-1126,1126,Foreign Languages Building
FLB-1046,1046,Foreign Languages Building
FLB-G17,G17,Foreign Languages Building
GH-307,307,Gregory Hall
FLB-1120,1120,Foreign Languages Building
BH-242,242,Bevier Hall
BH-108,108,Bevier Hall
GH-3,3,Gregory Hall
EB-166,166,Education Building
A-144,144,Armory
TH-W203,W203,Turner Hall
EB-160,160,English Building
HH-2001,2001,Huff Hall
CWVHE-1020,1020,Ctr Wounded Veterans Higher Ed
A-430,430,Armory
DKH-111,111,David Kinley Hall
DKH-113,113,David Kinley Hall
DKH-219,219,David Kinley Hall
EB-304,304,English Building
1WN-2027,2027,1010 W Nevada
SP-ARENA,ARENA,Stock Pavilion
