CourseID,Subject,Number,Name,Description,Credit Hours,Degree Attributes
AAS100,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course."
AAS120,AAS,120,Intro to Asian Am Pop Culture,Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's.,3 hours.,Cultural Studies - US Minority course.
AAS200,AAS,200,U.S. Race and Empire,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.",3 hours.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course."
AAS201,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,
AAS246,AAS,246,Asian American Youth in Film,Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.,3 hours.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course."
AAS275,AAS,275,The Politics of Fashion,Same as GWS 275. See GWS 275.,3 hours.,Cultural Studies - US Minority course.
AAS281,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course."
AAS283,AAS,283,Asian American History,Same as HIST 283. See HIST 283.,3 hours.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course."
AAS287,AAS,287,Food and Asian Americans,"Introduction to the interdisciplinary study of food to better understand the historical, social, and cultural aspects of Asian American food preparation, distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits, and rituals around food in restaurants, ethnic cookbooks, fictional works, memoirs, magazines, and television shows. Prerequisite: AAS 100 or AAS 120, or consent of instructor.",3 hours.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course."
AAS297,AAS,297,Asian Families in America,Same as HDFS 221 and SOCW 297. See SOCW 297.,3 hours.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course."
AAS310,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPS 310, and LLS 310. See EPS 310.",4 hours.,"Advanced Composition, and Cultural Studies - US Minority course."
AAS370,AAS,370,"Immigration, Law, and Rights","Exploration of the histories, cultures, and experiences of immigration to the United States by examining cultural production (literary and visual narratives and texts) alongside legal discourses (legislation, federal court cases). Same as LLS 372.",3 hours.,Advanced Composition course.
AAS395,AAS,395,Adv Asian Am Undergrad Reading,Supervised reading and research in upper level Asian American Studies topics chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100.,2 OR 3 hours.,
AAS402,AAS,402,Asian American Education,Same as EPS 402. See EPS 402.,4 hours.,"Advanced Composition, and Cultural Studies - US Minority course."
ABE100,ABE,100,Intro Agric &amp; Biological Engrg,"Introduction to the engineering profession with career opportunities in the agricultural and biological engineering discipline. Concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and teambuilding. Familiarization with laboratories, computer facilities, internships, and other opportunities. Team design experience. Emphasis on technical communication and problem-solving skills as well as career planning.",1 hours.,
ABE199,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,
ABE223,ABE,223,ABE Principles: Machine Syst,"Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,
ABE224,ABE,224,ABE Principles: Soil &amp; Water,"Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,
ABE341,ABE,341,Transport Processes in ABE,"Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421. Prerequisite: ABE 223, ABE 224, ABE 225, ABE 226, and PHYS 213.",3 hours.,
ABE361,ABE,361,Off-Road Machine Design,"Design and development concepts of agricultural and industrial machines; analysis and synthesis of tillage, planting, harvesting, chemical application, material handling mechanisms, and precision farming tools. Prerequisite: ABE 223 and TAM 212.",3 hours.,
ABE397,ABE,397,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,
ABE424,ABE,424,Principles of Mobile Robotics,"The objective of this course is to prepare students in design, navigation, control, and autonomy of aerial and ground robots that operate in harsh, uncertain, and changing field environments. The course will cover three primary aspects of field robotics: perception (sensing), motion control, and data analytics, and bring everything together through labs involving ground robots and flying unmanned aircraft (drones). 4 undergraduate hours. 4 graduate hours. Approved for Letter and S/U grading. Prerequisite: MATH 221, MATH 225, and MATH 285 , or ABE 415, or ABE 440, IE 300, or STAT 400 or equiv, CS 125 or equiv., or graduate standing.",4 hours.,
ABE430,ABE,430,Project Management,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. 2 undergraduate hours. 2 graduate hours.",2 hours.,
ABE436,ABE,436,Renewable Energy Systems,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.",3 OR 4 hours.,
ABE440,ABE,440,Applied Statistical Methods I,"Same as ANSC 440, CPSC 440, FSHN 440, and NRES 440. See CPSC 440.",4 hours.,
ABE445,ABE,445,Statistical Methods,Same as ANSC 445 and NRES 445. See ANSC 445.,4 hours.,
ABE459,ABE,459,Drainage and Water Management,"Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.",3 OR 4 hours.,
ABE466,ABE,466,Engineering Off-Road Vehicles,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and TSM 464. Prerequisite: ME 300.,3 hours.,
ABE476,ABE,476,Indoor Air Quality Engineering,"Principles and applications of indoor air quality. Particle mechanics, gas kinetics, air quality sampling principles and techniques, air cleaning technologies such as filters, cyclones, electrostatic precipitation for indoor environments; ventilation effectiveness for pollutant control. Research or design project. 4 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 213, MATH 285, and TAM 335.",4 hours.,
ABE488,ABE,488,Bioprocessing Biomass for Fuel,Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations; conventional and alternative feed stock materials; recovery of value-added coproducts and other variables involved in producing fuel ethanol; process simulation; economic analysis. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHBE 321 and TAM 335.,3 hours.,
ABE497,ABE,497,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,
ABE498,ABE,498,Special Topics,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,1 to 4 hours.,
ABE501,ABE,501,Graduate Research I,"Basic research orientation, research methods, presentation skills, laboratory practices, case studies, and professional and ethical conduct.",1 hours.,
ABE594,ABE,594,Graduate Seminar,Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. Approved for S/U grading only. May be repeated up to a maximum of 6 times.,0 hours.,
ABE597,ABE,597,Independent Study,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.,
ABE599,ABE,599,Thesis Research,Approved for S/U grading only. May be repeated.,0 TO 16 hours.,
ACCY199,ACCY,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,
ACCY200,ACCY,200,Fundamentals of Accounting,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,3 hours.,
ACCY201,ACCY,201,Accounting and Accountancy I,"Introduction to the role of accounting information in establishing organization objectives and goals and identification of strategies to best achieve such objectives and goals. Topics focus on the utility of information necessary for the formation, execution and monitoring of the variety of contracts embedded in organization strategies. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3 hours.,
ACCY202,ACCY,202,Accounting and Accountancy II,"Continuation of ACCY 201 with focus on strategic management of economic resources, together with acquisition of such resources, and financial and non-financial measures of organizational performance. Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent.",3 hours.,
ACCY290,ACCY,290,Prof Internship in Accountancy,"Formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience are required. Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. Prerequisite: Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department.",0 TO 3 hours.,
ACCY301,ACCY,301,Atg Measurement &amp; Disclosure,"Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.",3 hours.,
ACCY302,ACCY,302,Decision Making for Atg,"Decision making implications of information provided to organization managers and to external stakeholders such as investors, creditors, customers, and regulators. Concepts from economics, statistics, and psychology emphasize the use of quantitative techniques to comprehend uncertainty and risk. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.",3 hours.,
ACCY303,ACCY,303,Accounting Institutions and Regulation,"Regulation theory and practice as applied to accounting information. A general framework for regulation of accounting procedures is developed. This framework is applied to reporting, taxation, and regulated business activities. Projects facilitate self-discovery of knowledge and the development of professional attitudes and skills with emphasis on professional research. Prerequisite: ACCY 301 and FIN 221.",3 hours.,
ACCY304,ACCY,304,Accounting Control Systems,"Broad perspective on accounting and control that considers attainment of all goals of an organization, including those concerned with financial objectives. Topics include the conceptual foundations of control and application of practical, analytical tools to the evaluation of an organization's control environment. Cases, class discussion and field research projects emphasize independent thinking, group processes, and communication. Prerequisite: ACCY 301 and ACCY 302.",3 hours.,
ACCY312,ACCY,312,Principles of Taxation,"Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment, tax provisions relevant to businesses, employees and business owners. Projects facilitate self-discovery of knowledge and envelopment of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent.",3 hours.,
